epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
94,19772.2,0.4504,0.32541,0.82511,0.99737,1,0.995,0.88822,0.43492,0.27492,0.82046,0.000674562,0.000674562,0.000674562
95,19834.9,0.46528,0.34017,0.83671,0.99775,1,0.995,0.89994,0.42428,0.27493,0.81962,0.000668375,0.000668375,0.000668375
96,19900.7,0.46873,0.34386,0.82474,0.99776,1,0.995,0.89927,0.42097,0.27707,0.8196,0.000662188,0.000662188,0.000662188
97,19962.9,0.47128,0.34771,0.8256,0.99755,1,0.995,0.88179,0.45051,0.29031,0.82483,0.000656,0.000656,0.000656
98,20026,0.45097,0.32976,0.82077,0.99819,0.99996,0.995,0.89601,0.43659,0.27502,0.8235,0.000649813,0.000649813,0.000649813
99,20092.4,0.46407,0.32962,0.81799,0.99845,1,0.995,0.89548,0.448,0.27988,0.82568,0.000643625,0.000643625,0.000643625
100,20158,0.45303,0.32655,0.81897,0.99723,1,0.995,0.89767,0.4317,0.27698,0.82166,0.000637437,0.000637437,0.000637437
101,20222.4,0.4517,0.32532,0.82097,0.99621,1,0.995,0.89799,0.44062,0.28328,0.82208,0.00063125,0.00063125,0.00063125
102,20287.6,0.4454,0.32922,0.82606,0.99832,1,0.995,0.9008,0.4325,0.28036,0.82203,0.000625062,0.000625062,0.000625062
103,20355.9,0.44486,0.31524,0.82598,0.99855,1,0.995,0.88991,0.4329,0.28258,0.82153,0.000618875,0.000618875,0.000618875
104,20455,0.44737,0.33007,0.81105,0.99798,1,0.995,0.89507,0.42277,0.27472,0.81884,0.000612687,0.000612687,0.000612687
105,20567.1,0.43525,0.32141,0.82754,0.9983,1,0.995,0.89747,0.42753,0.27843,0.81841,0.0006065,0.0006065,0.0006065
106,20662.9,0.44156,0.32169,0.81793,0.99773,1,0.995,0.89545,0.42201,0.27265,0.81737,0.000600313,0.000600313,0.000600313
107,20726.5,0.42051,0.3016,0.8223,0.9971,1,0.995,0.90286,0.42035,0.26213,0.81659,0.000594125,0.000594125,0.000594125
108,20793.6,0.43254,0.31557,0.82181,0.99681,1,0.995,0.89819,0.42858,0.26425,0.81827,0.000587938,0.000587938,0.000587938
109,20861,0.45184,0.31844,0.82823,0.99766,1,0.995,0.8975,0.41953,0.26265,0.81812,0.00058175,0.00058175,0.00058175
110,20937.9,0.43519,0.31264,0.8228,0.99841,1,0.995,0.88761,0.44957,0.27089,0.82425,0.000575563,0.000575563,0.000575563
111,21002.3,0.43563,0.31125,0.81877,0.99825,1,0.995,0.88999,0.43734,0.27757,0.82315,0.000569375,0.000569375,0.000569375
112,21090.3,0.42783,0.30947,0.81774,0.99712,1,0.995,0.89848,0.41961,0.25855,0.81752,0.000563187,0.000563187,0.000563187
113,21165,0.4168,0.30139,0.82087,0.99729,1,0.995,0.8956,0.42725,0.26228,0.81883,0.000557,0.000557,0.000557
114,21227.7,0.43104,0.30733,0.81722,0.99837,1,0.995,0.89589,0.42735,0.26236,0.82038,0.000550813,0.000550813,0.000550813
115,21293.9,0.45009,0.30781,0.82255,0.99874,1,0.995,0.89755,0.4241,0.26262,0.8201,0.000544625,0.000544625,0.000544625
116,21375.1,0.43861,0.31218,0.82299,0.99846,1,0.995,0.89212,0.4323,0.26243,0.82245,0.000538438,0.000538438,0.000538438
117,21442.8,0.42891,0.30017,0.82177,0.99732,1,0.995,0.89756,0.42615,0.27416,0.82024,0.00053225,0.00053225,0.00053225
118,21509.6,0.4231,0.30431,0.82142,0.99793,1,0.995,0.89684,0.41937,0.25798,0.81906,0.000526063,0.000526063,0.000526063
119,21618.9,0.41842,0.29824,0.81387,0.99812,1,0.995,0.89776,0.43355,0.2655,0.82108,0.000519875,0.000519875,0.000519875
120,21729.5,0.42772,0.30512,0.8171,0.99833,1,0.995,0.90568,0.41454,0.25574,0.81685,0.000513688,0.000513688,0.000513688
121,21798.6,0.44695,0.31363,0.82231,0.99867,1,0.995,0.9004,0.42611,0.26469,0.81854,0.0005075,0.0005075,0.0005075
122,21883.9,0.43307,0.30469,0.81434,0.9982,1,0.995,0.90223,0.4209,0.2559,0.81853,0.000501313,0.000501313,0.000501313
123,22014,0.4406,0.30112,0.83212,0.99777,1,0.995,0.90236,0.42021,0.25863,0.8187,0.000495125,0.000495125,0.000495125
124,22103.4,0.42257,0.29521,0.8211,0.99836,1,0.995,0.8989,0.4259,0.25505,0.82005,0.000488938,0.000488938,0.000488938
125,22186.6,0.41593,0.29636,0.81904,0.99855,1,0.995,0.89969,0.42225,0.25661,0.82086,0.00048275,0.00048275,0.00048275
126,22289.8,0.42938,0.29899,0.81904,0.99852,1,0.995,0.90663,0.41574,0.25284,0.81723,0.000476562,0.000476562,0.000476562
